#,Name,Category 1,Category 2,Category 3,Category 4,Lv,Quality,Fire,Water,Air,Earth,Location,Dropped By
203,Land Dragon Scale,(Animal),(Scale),,,33,75,10,15,0,40,Hidden Paradise-Sky,"Scorching Dragon,Compact Dragon"
204,Shining Scale,(Animal),(Scale),,,16,55,0,20,20,10,Hidden Paradise-Water,Fairydrake
205,Dragon Fang,(Animal),(Elixir),(Legendary),(Access. Ing.),39,110,15,15,45,30,Hidden Paradise-Sky,"Compact Dragon,Old Oath Dragon,Grand Dragon"
206,Great Beast Fang,(Animal),(Legendary),(Access. Ing.),,29,70,0,20,30,20,Hidden Paradise-Sky,"Bitter Squirrel,Golden Rat,War Bear,Silver Wolf"
207,Black Fang,(Animal),(Poison),(Legendary),(Access. Ing.),41,90,50,0,30,50,Hidden Paradise-Sky,Scorching Dragon
208,Spirit Magnet,(Ore),(Elixir),(Mystery),(Legendary),45,120,50,50,50,0,,Wind Ruler
209,Time Guard Flower,(Plant),(Elixir),(Medic. Herb),(Flower),50,120,33,33,33,33,,"Yggdrasil,Ancient Live Tree"
210,Conventional Cloth,(Sundry),(Antique),(Cloth),(String),35,80,0,33,33,33,,
211,Salt Flower,(Ore),(Jewel),(Antique),(Salt),40,90,50,0,30,40,,
212,Mellow Animal,(Sundry),(Mystery),(Antique),(Lucky Charm),50,80,25,25,25,25,,
